User ID,Initial Power Consumption,Resource Reduction,Updated Power Consumption,Bid Amount,Power Saved
10,20,33,4,0,16
980,90,689,72,0,18
590,100,886,80,0,20
70,80,1065,241,0,0
180,90,36,0,0,90
100,10,4,8,0,2
280,90,290,216,0,0
320,30,135,0,0,30
200,10,8,6,0,4
400,10,17,14,0,0
230,40,309,121,0,0
360,70,650,0,0,70
1450,60,315,108,0,0
460,70,849,168,0,0
510,20,41,0,0,20
1350,60,753,0,0,60
160,70,849,196,0,0
110,20,16,0,0,20
530,40,146,0,0,40
500,10,21,26,0,0
20,30,24,91,0,0
80,90,1016,234,0,0
680,90,689,0,0,90
970,80,419,241,0,0
830,40,358,16,0,24
610,20,24,0,0,20
780,90,1742,72,0,18
900,10,8,0,0,10
1180,90,1125,0,0,90
370,80,742,16,0,64
600,10,21,0,0,10
420,30,61,0,0,30
1340,50,20,80,0,0
270,80,419,96,0,0
1040,50,365,120,0,0
730,40,16,72,0,0
960,70,424,56,0,14
1430,40,32,48,0,0
1060,70,367,0,0,70
330,40,277,72,0,0
1330,40,146,0,0,40
440,50,487,40,0,10
1110,20,83,8,0,12
670,80,64,192,0,0
1440,50,20,0,0,50
380,90,1161,0,0,90
490,100,1047,0,0,100
50,60,243,12,0,48
1250,60,170,96,0,0
540,50,406,40,0,10
140,50,507,0,0,50
60,70,481,112,0,0
810,20,66,40,0,0
150,60,0,132,0,0
120,30,135,0,0,30
520,30,0,36,0,0
390,100,725,240,0,0
890,100,886,0,0,100
1100,10,8,2,0,8
1140,50,20,80,0,0
1150,60,801,0,0,60
1070,80,161,160,0,0
40,50,466,70,0,0
30,40,130,96,0,0
170,80,96,32,0,48
870,80,678,64,0,16
940,50,507,40,0,10
1230,40,179,48,0,0
1160,70,933,168,0,0
350,60,267,12,0,48
1000,10,21,4,0,6
850,60,656,168,0,0
1030,40,293,24,0,16
290,100,2135,40,0,60
250,60,558,0,0,60
300,10,4,0,0,10
710,20,33,12,0,8
430,40,211,8,0,32
620,30,135,91,0,0
690,100,886,80,0,20
480,90,1524,0,0,90
240,50,507,0,0,50
1220,30,49,48,0,0
1730,40,163,16,0,24
560,70,622,168,0,0
640,50,203,110,0,0
90,100,604,60,0,40
1050,60,243,120,0,0
700,10,12,14,0,0
570,80,452,96,0,0
1410,20,24,52,0,0
660,70,424,126,0,0
950,60,170,108,0,0
990,100,1168,0,0,100
1130,40,326,72,0,0
410,20,33,16,0,4
1080,90,1089,144,0,0
210,20,49,4,0,16
1170,80,419,0,0,80
750,60,145,0,0,60
910,20,91,40,0,0
340,50,40,140,0,0
591,101,494,182,2121,0
531,41,51,99,369,0
361,71,905,0,1065,71
450,60,510,0,0,60
650,60,340,0,0,60
1020,30,196,48,0,0
1190,100,2176,220,0,0
740,50,40,30,0,20
1210,20,16,0,0,20
461,71,175,28,1065,43
1001,11,20,7,33,4
601,11,15,0,33,11
711,21,55,0,105,21
351,61,504,135,793,0
621,31,92,0,217,31
1370,80,516,0,0,80
421,31,118,43,217,0
611,21,82,29,105,0
1261,71,671,200,1065,0
171,81,896,163,1377,0
1910,20,33,56,0,0
321,31,52,6,217,25
521,31,145,0,217,31
551,61,705,0,793,61
281,91,1450,0,1729,91
411,21,73,47,105,0
1090,100,523,260,0,0
880,90,1488,54,0,36
141,51,551,71,561,0
911,21,101,0,105,21
1950,60,680,48,0,12
311,21,18,0,105,21
1690,100,1329,260,0,0
1810,20,41,0,0,20
920,30,98,12,0,18
301,11,15,18,33,0
541,51,169,0,561,51
691,101,288,0,2121,101
1540,50,263,140,0,0
1181,91,1153,0,1729,91
1990,100,886,180,0,0
770,80,64,241,0,0
921,31,211,62,217,0
1320,30,86,36,0,0
1091,101,988,305,2121,0
651,61,579,172,793,0
561,71,1051,215,1065,0
1500,10,4,0,0,10
470,80,452,112,0,0
1071,81,1062,113,1377,0
1301,11,15,18,33,0
1341,51,21,144,561,0
1131,41,172,108,369,0
1630,40,163,56,0,0
231,41,309,74,369,0
381,91,1264,0,1729,91
451,61,831,85,793,0
501,11,5,0,33,11
1390,100,926,0,0,100
1890,100,1934,280,0,0
771,81,1327,0,1377,81
1420,30,49,91,0,0
930,40,309,0,0,40
811,21,55,29,105,0
971,81,99,163,1377,0
821,31,145,6,217,25
1031,41,361,57,369,0
1141,51,127,0,561,51
1161,71,905,200,1065,0
781,91,1599,0,1729,91
931,41,344,0,369,41
1680,90,1778,0,0,90
1371,81,1294,212,1377,0
641,51,402,0,561,51
891,101,824,81,2121,20
631,41,240,0,369,41
1121,31,39,88,217,0
1240,50,385,30,0,20
630,40,81,64,0,0
371,81,1095,163,1377,0
71,81,1062,0,1377,81
1331,41,206,91,369,0
1900,10,17,20,0,0
840,50,142,30,0,20
32,42,90,0,798,42
941,51,424,0,561,51
1041,51,318,0,561,51
1151,61,504,147,793,0
1610,20,0,0,0,20
1700,10,12,26,0,0
1421,31,79,6,217,25
1720,30,73,54,0,0
1381,91,1339,0,1729,91
1431,41,17,99,369,0
1620,30,98,12,0,18
1550,60,291,0,0,60
1291,101,535,0,2121,101
1560,70,226,112,0,0
1710,20,0,36,0,0
1411,21,82,0,105,21
1590,100,80,60,0,40
1351,61,831,49,793,12
1391,101,1565,20,2121,81
1311,21,36,0,105,21
1580,90,726,0,0,90
1941,51,487,123,561,0
1200,10,17,0,0,10
1951,61,579,172,793,0
522,32,14,99,480,0
642,52,508,0,1196,52
1122,32,197,52,480,0
82,92,190,0,3588,92
1400,10,8,26,0,0
731,41,68,16,369,25
1870,80,904,64,0,16
1850,60,729,168,0,0
1940,50,548,151,0,0
1531,41,344,16,369,25
1551,61,756,160,793,0
1591,101,1236,203,2121,0
11,21,101,8,105,13
1931,41,51,91,369,0
221,31,105,0,217,31
1721,31,105,56,217,0
151,61,252,147,793,0
271,81,1029,0,1377,81
760,70,339,196,0,0
1841,51,381,61,561,0
511,21,36,0,105,21
1881,91,892,0,1729,91
452,62,78,138,1674,0
362,72,571,28,2232,44
422,32,56,45,480,0
602,12,0,2,84,10
1401,11,15,7,33,4
1791,101,82,243,2121,0
22,32,183,72,480,0
42,52,243,148,1196,0
1880,90,471,271,0,0
432,42,72,94,798,0
552,62,234,87,1674,0
1211,21,36,29,105,0
492,102,757,205,4386,0
131,41,344,108,369,0
612,22,10,31,242,0
672,82,613,0,2870,82
220,30,110,0,0,30
232,42,199,8,798,34
212,22,80,54,242,0
192,102,2357,246,4386,0
871,81,365,0,1377,81
260,70,367,0,0,70
881,91,1004,36,1729,55
1461,71,642,0,1065,71
571,81,464,212,1377,0
1321,31,52,37,217,0
130,40,32,0,0,40
1770,80,646,16,0,64
1501,11,10,7,33,4
431,41,172,0,369,41
761,71,233,186,1065,0
1840,50,40,151,0,0
1830,40,342,32,0,8
1,11,0,25,33,0
1611,21,64,0,105,21
91,101,329,0,2121,101
51,61,554,0,793,61
101,11,31,9,33,2
1671,81,232,179,1377,0
1691,101,1194,40,2121,61
211,21,46,0,105,21
341,51,254,155,561,0
261,71,87,28,1065,43
331,41,344,0,369,41
1751,61,302,73,793,0
1171,81,132,0,1377,81
1302,12,24,30,84,0
402,12,6,25,84,0
1502,12,30,0,84,12
802,12,18,0,84,12
1412,22,121,0,242,22
1382,92,342,0,3588,92
1282,92,1143,18,3588,74
1452,62,261,112,1674,0
1490,100,1410,180,0,0
1362,72,90,189,2232,0
1392,102,1220,0,4386,102
1482,92,419,222,3588,0
1650,60,510,36,0,24
1780,90,544,108,0,0
1312,22,0,40,242,0
1670,80,1065,0,0,80
550,60,24,12,0,48
1470,80,1356,16,0,64
1441,51,190,113,561,0
701,11,31,15,33,0
1082,92,1790,185,3588,0
861,71,350,171,1065,0
751,61,226,0,793,61
1270,80,710,16,0,64
1491,101,906,162,2121,0
1600,10,12,22,0,0
1860,70,283,84,0,0
1481,91,1450,127,1729,0
342,52,397,137,1196,0
1521,31,92,0,217,31
1260,70,877,154,0,0
312,22,70,31,242,0
372,82,238,0,2870,82
1251,61,453,135,793,0
1571,81,132,146,1377,0
1102,12,6,25,84,0
1422,32,14,92,480,0
182,92,1181,241,3588,0
382,92,152,241,3588,0
442,52,66,62,1196,0
1760,70,367,42,0,28
682,92,0,185,3588,0
1552,62,652,0,1674,62
1652,62,391,100,1674,0
482,92,1600,0,3588,92
1361,71,1109,0,1065,71
352,62,495,0,1674,62
322,32,98,12,480,20
1961,71,87,0,1065,71
242,52,574,10,1196,42
412,22,20,0,242,22
1221,31,92,75,217,0
702,12,12,39,84,0
972,82,1261,0,2870,82
1032,42,36,25,798,17
1152,62,809,0,1674,62
1212,22,50,54,242,0
1842,52,132,62,1196,0
1762,72,301,86,2232,0
143,53,460,86,1908,0
183,93,780,169,5580,0
213,23,121,33,414,0
562,72,240,130,2232,0
1660,70,764,182,0,0
592,102,1431,0,4386,102
1920,30,36,60,0,0
1541,51,402,31,561,20
1981,91,37,0,1729,91
1281,91,1264,164,1729,0
1960,70,339,126,0,0
1561,71,554,143,1065,0
632,42,325,0,798,42
1930,40,146,48,0,0
1581,91,520,0,1729,91
1310,20,83,36,0,0
1601,11,31,35,33,0
1980,90,399,198,0,0
111,21,36,25,105,0
92,102,210,184,4386,0
1132,42,380,0,798,42
1520,30,86,24,0,6
1621,31,66,0,217,31
1572,82,34,0,2870,82
21,31,132,62,217,0
1222,32,84,99,480,0
202,12,18,0,84,12
1661,71,438,14,1065,57
